,nome_candidato,uf,partido,estrelas_legisla_int,tempo_mandato,em_exercicio,tipo,gasto_gabinete,producao_legislativa,fiscalizacao,mobilizaca,alinhamento_partidario
394,Neucimar Fraga,ES,PP,2,1,Sim,SUPLENTE,208646.35,2.4,1.1,1.8,8.2
395,Newton Cardoso Jr,MG,MDB,3,3,Sim,TITULAR,200424.78,2.7,1.1,4.5,5.5
396,Ney Leprevost,PR,UNIÃO,2,3,Sim,TITULAR,79666.46,1.6,0.0,1.2,10.0
397,Nicoletti,RR,UNIÃO,3,3,Sim,TITULAR,272130.63,4.8,1.6,3.3,7.3
398,Nilson F. Stainsack,SC,PP,1,0,Não,SUPLENTE,0.00,0.5,0.0,0.3,0.0
399,Nilson Pinto,PA,PSDB,2,3,Sim,TITULAR,208239.79,1.5,1.1,1.8,8.2
400,Nilto Tatto,SP,PT,5,3,Sim,TITULAR,197395.17,6.9,4.4,5.2,9.1
401,Nivaldo Albuquerque,AL,REPUBLICANOS,3,3,Sim,TITULAR,195278.91,4.4,1.5,3.9,8.2
402,Norma Ayub,ES,PP,3,3,Sim,TITULAR,148907.21,3.5,1.3,3.6,2.7
403,Norma Pereira,SC,PSDB,1,1,Não,SUPLENTE,0.00,0.2,0.0,0.6,10.0
404,Odair Cunha,MG,PT,3,3,Sim,TITULAR,155694.92,2.2,1.3,4.5,7.3
405,Odorico Monteiro,CE,PSB,2,0,Não,SUPLENTE,0.00,1.3,0.5,1.2,10.0
406,Olival Marques,PA,MDB,2,3,Sim,TITULAR,236448.89,2.2,0.4,1.5,8.2
407,Orlando Silva,SP,PCdoB,4,3,Sim,TITULAR,183082.72,5.0,2.7,6.7,8.2
408,Osires Damaso,TO,PSC,2,3,Não,TITULAR,204109.13,2.4,1.1,2.4,7.3
409,Osmar Terra,RS,MDB,2,3,Sim,TITULAR,200892.91,1.4,0.9,1.5,2.7
410,Ossesio Silva,PE,REPUBLICANOS,3,3,Sim,TITULAR,192955.52,3.6,1.8,3.3,10.0
411,Otavio Leite,RJ,PSDB,2,0,Não,SUPLENTE,73346.78,2.0,1.1,2.1,7.3
412,Otoni de Paula,RJ,MDB,3,3,Sim,TITULAR,177973.55,3.4,0.5,3.9,6.4
413,Ottaci Nascimento,RR,SOLIDARIEDADE,2,3,Sim,TITULAR,215887.77,1.6,0.0,1.8,8.2
414,Otto Alencar Filho,BA,PSD,3,3,Sim,TITULAR,178448.56,4.3,0.9,3.0,0.9
415,Padre João,MG,PT,4,3,Sim,TITULAR,203018.48,4.0,2.2,6.4,9.1
416,Paes Landim,PI,UNIÃO,2,3,Sim,SUPLENTE,86731.26,0.8,0.4,1.8,10.0
417,Pastor Eurico,PE,PL,3,3,Sim,TITULAR,187948.15,4.0,1.3,3.3,8.2
418,Pastor Gil,MA,PL,3,3,Sim,TITULAR,209648.75,3.4,0.7,3.3,7.3
419,Pastor Sargento Isidório,BA,AVANTE,2,3,Sim,TITULAR,62998.90,4.2,0.0,2.4,0.9
420,Patricia Ferraz,AP,PODE,2,0,Não,SUPLENTE,0.00,2.0,0.4,2.7,10.0
421,Patrick Dorneles,PB,PSD,1,0,Não,SUPLENTE,50224.83,0.5,0.4,0.0,9.1
422,Patrus Ananias,MG,PT,5,3,Sim,TITULAR,225398.54,5.3,4.4,5.5,9.1
423,Paula Belmonte,DF,CIDADANIA,5,3,Sim,TITULAR,0.00,6.4,3.6,8.8,0.9
424,Paulão,AL,PT,3,3,Sim,TITULAR,133449.02,3.5,2.2,4.8,9.1
425,Paulo Abi-Ackel,MG,PSDB,2,3,Sim,TITULAR,178058.77,3.0,1.1,2.1,7.3
426,Paulo Azi,BA,UNIÃO,2,3,Sim,TITULAR,194879.95,2.4,1.1,2.7,7.3
427,Paulo Bengtson,PA,PTB,4,3,Sim,TITULAR,204464.91,6.0,0.9,3.9,7.3
428,Paulo Eduardo Martins,PR,PL,3,3,Sim,TITULAR,28535.07,4.7,1.3,3.0,0.9
429,Paulo Freire Costa,SP,PL,2,3,Sim,TITULAR,140476.97,1.7,1.3,0.9,8.2
430,Paulo Ganime,RJ,NOVO,5,3,Sim,TITULAR,30552.52,6.3,4.7,5.5,9.1
431,Paulo Guedes,MG,PT,3,3,Sim,TITULAR,196045.82,3.5,2.4,5.8,9.1
432,Paulo Magalhães,BA,PSD,2,3,Sim,SUPLENTE,201025.40,2.0,0.4,0.9,4.5
433,Paulo Marinho Jr,MA,PL,1,2,Sim,SUPLENTE,91445.55,0.6,0.0,0.3,10.0
434,Paulo Pimenta,RS,PT,4,3,Sim,TITULAR,170207.06,4.4,3.5,5.8,8.2
435,Paulo Ramos,RJ,PDT,4,3,Sim,TITULAR,194003.39,5.9,3.5,5.5,6.4
436,Paulo Teixeira,SP,PT,5,3,Sim,TITULAR,168107.20,7.0,4.4,8.5,9.1
437,Paulo Vicente Caleffi,RS,PSD,2,0,Não,SUPLENTE,89352.98,1.1,0.0,1.2,9.1
438,Pedro Augusto Bezerra,CE,PDT,3,3,Sim,TITULAR,239320.73,4.4,1.3,4.5,0.9
